INFO 2024-03-09 18:36:19,915 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:36:22,592 "GET /student/select_enquiry/ HTTP/1.1" 200 11797
INFO 2024-03-09 18:36:26,911 "POST /student/select_enquiry/ HTTP/1.1" 302 0
INFO 2024-03-09 18:36:27,754 "GET /student/create/1/ HTTP/1.1" 200 19456
INFO 2024-03-09 18:37:08,244 "POST /student/create/1/ HTTP/1.1" 302 0
INFO 2024-03-09 18:37:08,745 "GET /student/1/ HTTP/1.1" 200 13811
INFO 2024-03-09 18:37:15,600 "GET /student/1/update/ HTTP/1.1" 200 19598
INFO 2024-03-09 18:37:20,703 "POST /student/1/update/ HTTP/1.1" 302 0
INFO 2024-03-09 18:37:21,191 "GET /student/1/ HTTP/1.1" 200 13808
INFO 2024-03-09 18:37:28,317 "GET /student/1/ HTTP/1.1" 200 13665
INFO 2024-03-09 18:37:30,127 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:37:33,511 "GET / HTTP/1.1" 200 13661
INFO 2024-03-09 18:37:52,332 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:37:52,435 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,453 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,455 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,455 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,456 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,570 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,571 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,571 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,572 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,573 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,576 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,592 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:52,593 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:37:57,568 "GET /student/list HTTP/1.1" 200 11014
INFO 2024-03-09 18:37:59,088 "GET /student/1/ HTTP/1.1" 200 13665
INFO 2024-03-09 18:37:59,135 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 18:38:01,172 "GET /student/1/update/ HTTP/1.1" 200 19599
INFO 2024-03-09 18:43:57,804 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:43:57,921 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:43:57,945 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:43:57,946 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:43:57,948 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:43:57,953 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,103 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,104 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,105 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,106 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,106 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,107 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,117 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,118 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,194 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-03-09 18:43:58,194 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-03-09 18:44:01,521 "GET / HTTP/1.1" 200 13661
INFO 2024-03-09 18:44:05,046 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:44:07,641 "GET /student/list HTTP/1.1" 200 11014
INFO 2024-03-09 18:44:09,453 "GET /student/1/ HTTP/1.1" 200 13665
INFO 2024-03-09 18:44:09,548 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,084 "GET /finance/1/detail/ HTTP/1.1" 200 11742
INFO 2024-03-09 18:52:24,267 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,287 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,289 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,289 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,294 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,298 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,298 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,299 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,299 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,300 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,300 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,304 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:52:24,305 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:54:10,149 "GET /finance/1/update/ HTTP/1.1" 200 13597
INFO 2024-03-09 18:54:16,508 "POST /finance/1/update/ HTTP/1.1" 302 0
INFO 2024-03-09 18:54:16,603 "GET /finance/1/detail/ HTTP/1.1" 200 11745
INFO 2024-03-09 18:54:20,075 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:54:23,416 "GET / HTTP/1.1" 200 13663
INFO 2024-03-09 18:54:26,078 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:54:28,245 "GET /student/select_enquiry/ HTTP/1.1" 200 11733
INFO 2024-03-09 18:54:34,450 "GET /student/list HTTP/1.1" 200 11014
INFO 2024-03-09 18:54:35,910 "GET /student/1/ HTTP/1.1" 200 13667
INFO 2024-03-09 18:54:36,007 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 18:54:47,489 "GET /student/1/update/ HTTP/1.1" 200 19599
INFO 2024-03-09 18:55:00,190 "GET /finance/1/detail/ HTTP/1.1" 200 11745
